Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Gary Johnson,LB,Texas,College Stats,6-0,226,4.43,33.5,16,121,7.15,4.57,
Isaiah Johnson,CB,Houston,College Stats,6-2,208,4.40,36.5,,133,6.81,4.06,Oakland Raiders / 4th / 129th pick / 2019
Jaquan Johnson,S,Miami (FL),College Stats,5-10,191,4.69,33.0,18,121,,,Buffalo Bills / 6th / 181st pick / 2019
Keesean Johnson,WR,Fresno State,College Stats,6-1,201,4.60,30.0,14,117,7.28,4.23,Arizona Cardinals / 6th / 174th pick / 2019
Lonnie Johnson,CB,Kentucky,College Stats,6-2,213,4.52,38.0,15,129,7.01,4.10,Houston Texans / 2nd / 54th pick / 2019
Bisi Johnson,WR,Colorado State,College Stats,6-0,204,4.51,38.0,14,124,6.88,4.16,Minnesota Vikings / 7th / 247th pick / 2019
Daniel Jones,QB,Duke,College Stats,6-5,221,4.81,33.5,,120,7.00,4.41,New York Giants / 1st / 6th pick / 2019
Dre'Mont Jones,DL,Ohio State,College Stats,6-3,281,5.12,31.5,,110,7.71,4.53,Denver Broncos / 3rd / 71st pick / 2019
Jordan Jones,LB,Kentucky,College Stats,6-2,234,4.62,32.5,23,123,,4.37,
Tyler Jones,OT,North Carolina State,College Stats,6-3,306,,31.5,23,111,7.75,4.82,
Michael Jordan,OT,Ohio State,College Stats,6-6,312,5.27,32.5,19,116,7.71,4.71,Cincinnati Bengals / 4th / 136th pick / 2019
Kendall Joseph,LB,Clemson,College Stats,6-0,233,,,25,,,,
Vosean Joseph,LB,Florida,College Stats,6-1,230,,,,,,,Buffalo Bills / 5th / 147th pick / 2019
Kingsley Keke,DL,Texas A&M,College Stats,6-3,288,4.95,31.5,,111,7.55,4.46,Green Bay Packers / 5th / 150th pick / 2019
Brandon Knight,OT,Indiana,College Stats,6-4,314,,,,,,,
Dawson Knox,TE,Mississippi,College Stats,6-4,254,,34.5,16,,7.12,4.27,Buffalo Bills / 3rd / 96th pick / 2019
Tre Lamar,LB,Clemson,College Stats,6-3,253,,,,,,,
Dexter Lawrence,DL,Clemson,College Stats,6-4,342,5.05,,36,,,,New York Giants / 1st / 17th pick / 2019
Justin Layne,CB,Michigan State,College Stats,6-2,192,4.50,37.5,,134,6.90,4.09,Pittsburgh Steelers / 3rd / 83rd pick / 2019
Jonathan Ledbetter,DL,Georgia,College Stats,6-4,280,5.14,26.5,22,108,,,
Iman Lewis-Marshall,CB,USC,College Stats,6-1,207,4.53,,16,,,,Baltimore Ravens / 4th / 127th pick / 2019
Chris Lindstrom,OL,Boston Col.,College Stats,6-4,308,4.91,30.5,25,117,7.61,4.54,Atlanta Falcons / 1st / 14th pick / 2019
Greg Little,OT,Mississippi,College Stats,6-5,310,5.33,25.0,,113,,4.74,Carolina Panthers / 2nd / 37th pick / 2019
Drew Lock,QB,Missouri,College Stats,6-4,228,4.69,31.0,,112,7.03,4.12,Denver Broncos / 2nd / 42nd pick / 2019
Damarkus Lodge,WR,Mississippi,College Stats,6-2,202,4.55,33.5,11,119,7.06,4.53,
David Long,CB,Michigan,College Stats,5-11,196,4.45,39.5,15,120,6.45,3.97,Los Angeles Rams / 3rd / 79th pick / 2019
Bryce Love,RB,Stanford,College Stats,5-9,200,,,18,,,,Washington Redskins / 4th / 112th pick / 2019
Julian Love,CB,Notre Dame,College Stats,5-11,195,4.54,36.0,14,121,6.72,4.10,New York Giants / 4th / 108th pick / 2019
Alize Mack,TE,Notre Dame,College Stats,6-4,249,4.70,36.0,22,120,7.27,4.34,New Orleans Saints / 7th / 231st pick / 2019
Daylon Mack,DL,Texas A&M,College Stats,6-1,336,5.10,27.0,30,102,8.02,4.95,Baltimore Ravens / 5th / 160th pick / 2019
Alexander Mattison,RB,Boise State,College Stats,5-11,221,4.67,35.0,22,127,7.13,4.29,Minnesota Vikings / 3rd / 102nd pick / 2019
Erik McCoy,OL,Texas A&M,College Stats,6-4,303,4.89,31.0,29,107,8.28,4.62,New Orleans Saints / 2nd / 48th pick / 2019
Kaleb McGary,OT,Washington,College Stats,6-7,317,5.05,33.5,23,111,7.66,4.58,Atlanta Falcons / 1st / 31st pick / 2019
Connor McGovern,OL,Penn State,College Stats,6-5,308,,,28,112,7.66,4.57,Dallas Cowboys / 3rd / 90th pick / 2019
Mark McLaurin,S,Mississippi State,College Stats,6-1,212,4.77,36.0,12,,,4.46,
Terry McLaurin,WR,Ohio State,College Stats,6-0,208,4.35,37.5,18,125,7.01,4.15,Washington Redskins / 3rd / 76th pick / 2019
Trace McSorley,QB,Penn State,College Stats,6-0,202,4.57,33.0,,115,7.09,4.12,Baltimore Ravens / 6th / 197th pick / 2019
D.K. Metcalf,WR,Mississippi,College Stats,6-3,228,4.33,40.5,27,134,7.38,4.50,Seattle Seahawks / 2nd / 64th pick / 2019
Jakobi Meyers,WR,North Carolina State,College Stats,6-2,203,4.63,37.0,13,118,7.07,4.23,
Joshua Miles,OT,Morgan State,,6-5,314,5.32,36.0,,109,8.07,4.75,Arizona Cardinals / 7th / 248th pick / 2019
Christian Miller,EDGE,Alabama,College Stats,6-3,247,,38.5,,118,,,Carolina Panthers / 4th / 115th pick / 2019
Jordan Miller,CB,Washington,College Stats,6-1,186,4.49,37.0,6,125,,,Atlanta Falcons / 5th / 172nd pick / 2019
Shareef Miller,EDGE,Penn State,College Stats,6-4,254,4.69,29.5,16,,,4.45,Philadelphia Eagles / 4th / 138th pick / 2019
Gardner Minshew,QB,Washington State,College Stats,6-1,225,4.97,33.5,,116,7.14,4.45,Jacksonville Jaguars / 6th / 178th pick / 2019
Dillon Mitchell,WR,Oregon,College Stats,6-1,197,4.46,36.5,12,122,,4.29,Minnesota Vikings / 7th / 239th pick / 2019
David Montgomery,RB,Iowa State,College Stats,5-10,222,4.63,28.5,15,121,,,Chicago Bears / 3rd / 73rd pick / 2019
Jalin Moore,RB,Appalachian State,College Stats,5-10,212,,,27,,,,
Foster Moreau,TE,LSU,College Stats,6-4,253,4.66,36.5,22,121,7.16,4.11,Oakland Raiders / 4th / 137th pick / 2019
Stanley Morgan,WR,Nebraska,College Stats,6-0,202,4.53,38.5,14,125,6.78,4.13,
Trayvon Mullen,CB,Clemson,College Stats,6-1,199,4.46,34.5,,123,,,Oakland Raiders / 2nd / 40th pick / 2019
Byron Murphy,CB,Washington,College Stats,5-11,190,4.55,36.5,14,120,,,Arizona Cardinals / 2nd / 33rd pick / 2019
Kyler Murray,QB,Oklahoma,College Stats,5-10,207,,,,,,,Arizona Cardinals / 1st / 1st pick / 2019
Nyqwan Murray,WR,Florida State,College Stats,5-10,191,4.63,34.0,8,113,7.20,4.40,
Isaac Nauta,TE,Georgia,College Stats,6-3,244,4.91,28.0,19,,7.45,4.43,Detroit Lions / 7th / 224th pick / 2019
Anthony Nelson,DL,Iowa,College Stats,6-7,271,4.82,35.5,18,118,6.95,4.23,Tampa Bay Buccaneers / 4th / 107th pick / 2019
Yosh Nijman,OT,Virginia Tech,College Stats,6-7,324,,,27,114,8.07,4.50,
Bobby Okereke,LB,Stanford,College Stats,6-1,239,4.58,33.5,,122,7.25,4.26,Indianapolis Colts / 3rd / 89th pick / 2019
Ed Oliver,DL,Houston,College Stats,6-2,287,,36.0,32,120,,,Buffalo Bills / 1st / 9th pick / 2019
Josh Oliver,TE,San Jose State,College Stats,6-5,249,4.63,34.0,22,117,7.21,4.47,Jacksonville Jaguars / 3rd / 69th pick / 2019
Qadree Ollison,RB,Pittsburgh,College Stats,6-1,228,4.58,29.5,19,114,7.53,4.31,Atlanta Falcons / 5th / 152nd pick / 2019
Charles Omenihu,DL,Texas,College Stats,6-5,280,4.92,36.5,,115,7.48,4.36,Houston Texans / 5th / 161st pick / 2019
Iosua Opeta,OL,Weber State,,6-4,301,5.02,33.0,39,112,8.06,4.94,
Amani Oruwariye,CB,Penn State,College Stats,6-2,205,4.47,36.5,17,120,6.82,4.16,Detroit Lions / 5th / 146th pick / 2019
Javon Patterson,OL,Mississippi,College Stats,6-3,307,5.13,27.5,27,98,7.72,4.78,Indianapolis Colts / 7th / 246th pick / 2019
Jamal Peters,CB,Mississippi State,College Stats,6-2,218,4.63,,,,,,
Ross Pierschbacher,OT,Alabama,College Stats,6-4,307,5.20,22.5,20,,7.83,4.70,Washington Redskins / 5th / 153rd pick / 2019
Trey Pipkins,OT,Sioux Falls,,6-6,309,5.12,33.5,16,114,7.61,4.70,Los Angeles Chargers / 3rd / 91st pick / 2019
Jachai Polite,EDGE,Florida,College Stats,6-3,258,4.84,32.0,,,,,New York Jets / 3rd / 68th pick / 2019
Tony Pollard,RB,Memphis,College Stats,6-0,210,4.52,35.0,13,121,,,Dallas Cowboys / 4th / 128th pick / 2019
Ryan Pope,OT,San Diego State,College Stats,6-7,320,,,25,,,,
Ben Powers,OL,Oklahoma,College Stats,6-4,307,,,21,,,,Baltimore Ravens / 4th / 123rd pick / 2019
Germaine Pratt,LB,North Carolina State,College Stats,6-2,240,4.57,32.5,24,116,,,Cincinnati Bengals / 3rd / 72nd pick / 2019
Isaiah Prince,OT,Ohio State,College Stats,6-6,305,5.09,27.0,23,115,7.90,5.02,Miami Dolphins / 6th / 202nd pick / 2019
Ryan Pulley,CB,Arkansas,College Stats,5-11,209,4.61,31.0,11,111,,,
Taylor Rapp,S,Washington,College Stats,6-0,208,,35.0,17,115,6.82,3.99,Los Angeles Rams / 2nd / 61st pick / 2019
Wyatt Ray,EDGE,Boston Col.,College Stats,6-3,257,4.83,34.0,25,118,7.34,4.31,
Dax Raymond,TE,Utah State,College Stats,6-5,255,4.73,32.0,15,109,7.15,4.39,
Sheldrick Redwine,S,Miami (FL),College Stats,6-0,196,4.44,39.0,,130,,4.14,Cleveland Browns / 4th / 119th pick / 2019
Hunter Renfrow,WR,Clemson,College Stats,5-10,184,4.59,35.0,7,116,6.80,4.19,Oakland Raiders / 5th / 149th pick / 2019
Riley Ridley,WR,Georgia,College Stats,6-1,199,4.58,30.5,13,124,7.22,4.28,Chicago Bears / 4th / 126th pick / 2019
Dalton Risner,OT,Kansas State,College Stats,6-5,312,5.30,28.5,23,110,7.69,4.52,Denver Broncos / 2nd / 41st pick / 2019
Tyler Roemer,OT,San Diego State,College Stats,6-6,312,5.21,30.5,18,108,7.75,4.76,
Dontavius Russell,DL,Auburn,College Stats,6-3,319,5.15,,24,,7.81,4.77,Jacksonville Jaguars / 7th / 235th pick / 2019
Brett Rypien,QB,Boise State,College Stats,6-2,210,4.91,33.0,,116,7.10,4.29,
Dru Samia,OT,Oklahoma,College Stats,6-5,305,5.29,27.5,28,101,7.89,4.70,Minnesota Vikings / 4th / 114th pick / 2019
Drew Sample,TE,Washington,College Stats,6-5,255,4.71,33.5,,115,7.15,4.31,Cincinnati Bengals / 2nd / 52nd pick / 2019
Deebo Samuel,WR,South Carolina,College Stats,5-11,214,4.48,39.0,15,122,7.03,4.14,San Francisco 49ers / 2nd / 36th pick / 2019
Miles Sanders,RB,Penn State,College Stats,5-11,211,4.49,36.0,20,124,6.89,4.19,Philadelphia Eagles / 2nd / 53rd pick / 2019
Khalen Saunders,DL,Western Illinois,,6-0,324,5.01,30.5,27,101,7.57,4.62,Kansas City Chiefs / 3rd / 84th pick / 2019
Darnell Savage,S,Maryland,College Stats,5-11,198,4.36,39.5,11,126,7.03,4.14,Green Bay Packers / 1st / 21st pick / 2019
Jordan Scarlett,RB,Florida,College Stats,5-11,208,4.47,30.0,21,116,7.37,4.63,Carolina Panthers / 5th / 154th pick / 2019
Max Scharping,OT,Northern Illinois,College Stats,6-6,327,,28.0,27,108,7.77,4.69,Houston Texans / 2nd / 55th pick / 2019
Lj Scott,RB,Michigan State,College Stats,6-0,227,,33.0,21,120,7.27,4.34,
Austin Seibert,K,Oklahoma,College Stats,5-9,213,,,,,,,Cleveland Browns / 5th / 170th pick / 2019
Kendall Sheffield,CB,Ohio State,College Stats,5-11,193,,,,,,,Atlanta Falcons / 4th / 111th pick / 2019
Kyle Shurmur,QB,Vanderbilt,College Stats,6-4,230,4.91,29.5,,106,7.51,4.53,
David Sills,WR,West Virginia,College Stats,6-3,211,4.57,37.5,14,117,6.97,4.28,
Devin Singletary,RB,Florida Atlantic,College Stats,5-7,203,4.66,35.0,15,117,7.32,4.40,Buffalo Bills / 3rd / 74th pick / 2019
Chris Slayton,DL,Syracuse,College Stats,6-4,307,5.13,29.0,28,101,,4.73,New York Giants / 7th / 245th pick / 2019
Darius Slayton,WR,Auburn,College Stats,6-1,190,4.39,40.5,11,135,7.00,4.15,New York Giants / 5th / 171st pick / 2019
Cameron Smith,LB,USC,College Stats,6-2,238,4.69,39.0,15,123,,4.23,Minnesota Vikings / 5th / 162nd pick / 2019
Irv Smith,TE,Alabama,College Stats,6-2,242,4.63,32.5,19,110,7.32,4.33,Minnesota Vikings / 2nd / 50th pick / 2019
Jaylen Smith,WR,Louisville,College Stats,6-2,219,4.47,34.5,14,122,7.55,4.48,
Kaden Smith,TE,Stanford,College Stats,6-5,255,4.92,32.0,15,108,7.08,4.47,San Francisco 49ers / 6th / 176th pick / 2019
Saivion Smith,CB,Alabama,College Stats,6-1,199,,33.0,11,121,7.09,4.37,
Sutton Smith,EDGE,Northern Illinois,College Stats,6-0,233,4.69,31.5,25,118,6.75,4.32,Pittsburgh Steelers / 6th / 175th pick / 2019
Benny Snell,RB,Kentucky,College Stats,5-10,224,4.66,29.5,16,119,7.07,4.33,Pittsburgh Steelers / 4th / 122nd pick / 2019
Jace Sternberger,TE,Texas A&M,College Stats,6-4,251,4.75,31.5,17,113,7.19,4.31,Green Bay Packers / 3rd / 75th pick / 2019
Easton Stick,QB,North Dakota State,,6-1,224,4.62,33.5,,118,6.65,4.05,Los Angeles Chargers / 5th / 166th pick / 2019
Jarrett Stidham,QB,Auburn,College Stats,6-2,218,4.81,31.0,,110,7.28,4.33,New England Patriots / 4th / 133rd pick / 2019
Ty Summers,LB,TCU,College Stats,6-1,241,4.51,36.0,27,123,,,Green Bay Packers / 7th / 226th pick / 2019
Montez Sweat,EDGE,Mississippi State,College Stats,6-6,260,4.41,36.0,21,125,7.00,4.29,Washington Redskins / 1st / 26th pick / 2019
Tommy Sweeney,TE,Boston Col.,College Stats,6-4,251,4.83,,17,,,,Buffalo Bills / 7th / 228th pick / 2019
William Sweet,OT,North Carolina,College Stats,6-6,313,5.27,30.5,23,111,8.01,5.00,
Jordan Ta'amu,QB,Mississippi,College Stats,6-3,221,4.77,27.5,,109,7.06,4.36,
Sione Takitaki,LB,BYU,College Stats,6-1,238,4.63,37.0,24,125,7.21,4.28,Cleveland Browns / 3rd / 80th pick / 2019
Trevon Tate,OL,Memphis,College Stats,6-2,293,,,22,,,,
Jahlani Tavai,LB,Hawaii,College Stats,6-2,250,,,,,,,Detroit Lions / 2nd / 43rd pick / 2019
Jawaan Taylor,OT,Florida,College Stats,6-5,312,,,24,,,,Jacksonville Jaguars / 2nd / 35th pick / 2019
Marvell Tell,S,USC,College Stats,6-2,198,,42.0,,136,6.63,4.01,Indianapolis Colts / 5th / 144th pick / 2019
Derrek Thomas,CB,Baylor,College Stats,6-3,189,4.44,39.5,8,131,,,
Cody Thompson,WR,Toledo,College Stats,6-1,205,4.57,38.5,19,119,6.87,4.03,
Deionte Thompson,S,Alabama,College Stats,6-1,195,,,,,,,Arizona Cardinals / 5th / 139th pick / 2019
Juan Thornhill,S,Virginia,College Stats,6-0,205,4.42,44.0,21,141,,,Kansas City Chiefs / 2nd / 63rd pick / 2019
Clayton Thorson,QB,Northwestern,College Stats,6-4,222,,,,,,,Philadelphia Eagles / 5th / 167th pick / 2019
Jerry Tillery,DL,Notre Dame,College Stats,6-6,295,4.93,32.0,23,115,7.45,4.33,Los Angeles Chargers / 1st / 28th pick / 2019
Cole Tracy,K,LSU,College Stats,5-10,184,,,,,,,
Drue Tranquill,LB,Notre Dame,College Stats,6-2,234,4.57,37.5,31,122,6.94,4.14,Los Angeles Chargers / 4th / 130th pick / 2019
Oli Udoh,OT,Elon,,6-5,323,5.05,28.5,26,105,7.88,5.05,
D'Andre Walker,EDGE,Georgia,College Stats,6-2,251,,,,,,,Tennessee Titans / 5th / 168th pick / 2019
Kahale Warring,TE,San Diego State,College Stats,6-5,252,4.67,36.5,19,122,7.21,4.25,Houston Texans / 3rd / 86th pick / 2019
Armon Watts,DL,Arkansas,College Stats,6-5,300,5.23,,,,,,Minnesota Vikings / 6th / 190th pick / 2019
Jamarius Way,WR,South Alabama,College Stats,6-3,215,4.63,32.5,16,119,,4.66,
Mike Weber,RB,Ohio State,College Stats,5-10,211,4.47,33.5,22,,,,Dallas Cowboys / 7th / 218th pick / 2019
Ken Webster,CB,Mississippi,College Stats,5-11,203,4.43,43.0,18,133,6.85,4.14,New England Patriots / 7th / 252nd pick / 2019
Trevon Wesco,TE,West Virginia,College Stats,6-3,267,4.89,31.0,24,117,7.18,4.38,New York Jets / 4th / 121st pick / 2019
Alex Wesley,WR,Northern Colorado,,6-0,190,4.45,38.5,13,125,7.40,4.44,
Antoine Wesley,WR,Texas Tech,College Stats,6-4,206,,37.0,6,117,7.07,4.26,
Darius West,S,Kentucky,College Stats,5-11,208,4.39,33.5,19,113,,,
Devin White,LB,LSU,College Stats,6-0,237,4.42,39.5,22,118,7.07,4.17,Tampa Bay Buccaneers / 1st / 5th pick / 2019
Christian Wilkins,DL,Clemson,College Stats,6-3,315,5.04,29.5,28,107,,4.55,Miami Dolphins / 1st / 13th pick / 2019
Dexter Williams,RB,Notre Dame,College Stats,5-11,212,4.57,36.0,17,130,7.00,4.16,Green Bay Packers / 6th / 194th pick / 2019
Greedy Williams,CB,LSU,College Stats,6-2,185,4.37,,,,,,Cleveland Browns / 2nd / 46th pick / 2019
James Williams,RB,Washington State,College Stats,5-9,197,4.58,36.5,,118,7.01,4.25,
Jonah Williams,OT,Alabama,College Stats,6-4,302,5.12,28.0,23,100,8.01,4.79,Cincinnati Bengals / 1st / 11th pick / 2019
Joejuan Williams,CB,Vanderbilt,College Stats,6-4,211,4.64,,17,,,,New England Patriots / 2nd / 45th pick / 2019
Quinnen Williams,DL,Alabama,College Stats,6-3,303,4.83,30.5,,112,,,New York Jets / 1st / 3rd pick / 2019
Trayveon Williams,RB,Texas A&M,College Stats,5-8,206,4.51,33.0,19,121,7.44,4.44,Cincinnati Bengals / 6th / 182nd pick / 2019
Gerald Willis,DL,Miami (FL),College Stats,6-2,302,,,,,,,
Khari Willis,S,Michigan State,College Stats,5-11,213,4.52,34.5,22,118,,,Indianapolis Colts / 4th / 109th pick / 2019
Caleb Wilson,TE,UCLA,College Stats,6-4,240,4.56,29.0,,113,7.20,4.40,Arizona Cardinals / 7th / 254th pick / 2019
Donovan Wilson,S,Texas A&M,College Stats,6-0,199,,36.0,18,127,,,Dallas Cowboys / 6th / 213th pick / 2019
Mack Wilson,LB,Alabama,College Stats,6-1,240,,32.0,,117,,,Cleveland Browns / 5th / 155th pick / 2019
Andrew Wingard,S,Wyoming,College Stats,6-0,209,4.56,36.5,9,121,7.08,4.20,
Chase Winovich,EDGE,Michigan,College Stats,6-3,256,4.59,30.5,18,116,6.94,4.11,New England Patriots / 3rd / 77th pick / 2019
Daniel Wise,DL,Kansas,College Stats,6-3,281,5.28,27.5,22,112,7.53,4.37,
Mitch Wishnowsky,P,Utah,College Stats,6-2,218,4.63,32.5,,117,,,San Francisco 49ers / 4th / 110th pick / 2019
Zedrick Woods,S,Mississippi,College Stats,5-11,205,4.29,34.5,19,122,7.00,4.15,
Evan Worthington,S,Colorado,College Stats,6-2,212,4.63,33.5,17,121,7.07,4.37,
Renell Wren,DL,Arizona State,College Stats,6-5,318,5.01,32.0,30,118,7.65,4.53,Cincinnati Bengals / 4th / 125th pick / 2019
Oshane Ximines,EDGE,Old Dominion,College Stats,6-3,253,4.78,34.0,24,118,7.13,4.57,New York Giants / 3rd / 95th pick / 2019
Rock Ya-Sin,CB,Temple,College Stats,6-0,192,4.51,39.5,18,120,7.31,4.31,Indianapolis Colts / 2nd / 34th pick / 2019